Country Name,"Country Code","Series Name","Series Code","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
"Congo, Rep.","COG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","54.662","54.614","54.641","54.477","54.644","54.475","54.314","54.022","53.945","54.159","50.469"
Costa Rica,"CRI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","54.968","54.85","58.472","58.43","58.734","57.523","54.861","55.223","56.605","57.318","50.666"
Cote d'Ivoire,"CIV","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","62.549","62.326","62.411","64.302","64.855","65.217","65.562","63.958","63.541","63.131","63.214"
Croatia,"HRV","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","46.43","44.678","43.09","42.012","43.204","44.095","44.5","45.695","46.696","47.536","47.204"
Cuba,"CUB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","53.453","53.196","53.182","53.442","53.901","54.218","54.469","54.612","54.518","54.332","51.379"
Curacao,"CUW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Cyprus,"CYP","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","60.108","58.759","56.289","53.707","54.113","54.519","55.469","57.195","59.82","61.382","60.636"
Czechia,"CZE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","54.095","54.354","54.548","55.135","55.649","56.375","57.457","58.335","59.017","58.906","57.944"
Denmark,"DNK","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","58.677","58.26","57.551","56.95","57.089","57.558","58.046","58.221","58.73","59.311","58.637"
Djibouti,"DJI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","24.431","24.37","24.333","24.258","24.161","24.089","24.004","23.861","23.704","23.565","22.821"
Dominica,"DMA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Dominican Republic,"DOM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","53.751","54.617","55.436","54.912","55.529","57.291","57.902","58.73","60.033","61.045","56.667"
Ecuador,"ECU","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","60.122","59.643","60.431","60.342","60.44","63.284","64.558","65.539","64.307","63.656","56.361"
"Egypt, Arab Rep.","EGY","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","45.045","43.005","42.385","42.065","41.811","40.846","40.825","39.661","39.032","38.885","38.297"
El Salvador,"SLV","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","56.959","57.019","57.883","58.289","56.929","56.342","56.643","56.418","56.376","57.39","53.689"
Equatorial Guinea,"GNQ","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","54.631","54.945","55.35","55.754","56.077","56.265","56.43","56.497","56.513","56.353","52.085"
Eritrea,"ERI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","75.037","74.901","74.842","74.856","74.646","74.649","74.516","74.411","74.158","73.832","72.568"
Estonia,"EST","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","50.399","53.703","55.117","55.984","56.589","57.854","58.328","59.571","60.062","60.31","58.654"
Eswatini,"SWZ","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","37.919","38.212","38.583","38.851","39.084","39.245","39.518","38.361","37.157","36.051","33.171"
Ethiopia,"ETH","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","79.663","79.587","79.505","79.409","77.728","76.079","74.416","72.766","71.104","69.478","66.617"
Faroe Islands,"FRO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Fiji,"FJI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","59.331","60.278","58.987","57.67","56.344","55.741","55.097","54.918","54.766","54.696","51.27"
Finland,"FIN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","54.702","55.166","55.006","54.269","53.65","53.253","53.383","53.598","54.944","55.221","54.282"
France,"FRA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","51","50.85","50.693","50.692","50.035","49.862","49.828","50.059","50.313","50.316","49.925"
French Polynesia,"PYF","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","49.342","49.322","49.436","49.406","49.379","49.357","49.323","49.35","49.163","48.981","47.4"
Gabon,"GAB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","39.071","39.513","39.86","40.052","40.22","40.41","40.551","40.678","40.789","40.945","37.692"
"Gambia, The","GMB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","43.452","43.029","42.988","43.392","43.934","44.378","44.809","45.339","45.833","45.613","44.891"
Georgia,"GEO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","54.021","53.977","53.639","53.577","54.736","55.239","55.059","56.656","55.836","55.65","55.96"
Germany,"DEU","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","55.134","56.282","56.737","57.074","57.371","57.442","57.932","58.366","58.8","59.368","58.131"
Ghana,"GHA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","67.977","68.756","69.474","70.094","67.363","64.54","64.488","64.603","63.191","61.758","59.656"
Gibraltar,"GIB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Greece,"GRC","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","46.167","42.781","39.059","37.288","37.547","38.41","39.121","40.096","41.057","42.187","42.097"
Greenland,"GRL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Grenada,"GRD","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Guam,"GUM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","56.365","54.274","54.911","55.305","57.692","58.1","59.022","58.977","58.965","58.917","55.488"
Guatemala,"GTM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","58.344","59.455","63.318","58.403","59.082","59.077","59.122","59.442","59.122","57.871","57.018"
Guinea,"GIN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","56.142","55.492","54.928","54.234","53.521","52.804","52.228","51.64","50.989","50.225","49.23"
Guinea-Bissau,"GNB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","61.434","61.421","61.338","61.267","61.144","61.157","61.105","61.054","60.934","60.667","60.697"
Guyana,"GUY","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","49.848","49.672","49.437","49.151","48.832","48.514","48.288","48.112","48.188","45.209","42.974"
Haiti,"HTI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","55.617","56.22","56.454","56.8","56.774","56.788","56.723","56.738","56.747","56.547","55.046"
Honduras,"HND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","59.364","57.055","56.207","59.123","59.611","60.152","59.063","60.801","62.737","59.578","52.961"
"Hong Kong SAR, China","HKG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","56.276","57.296","57.781","58.437","58.338","58.461","58.349","58.577","58.946","58.245","55.55"
Hungary,"HUN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","46.181","46.473","47.052","48.076","50.761","52.382","54.366","55.43","56.16","56.477","55.963"
Iceland,"ISL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","69.036","68.973","69.821","70.87","72.248","73.626","75.111","74.784","73.924","73.044","69.526"
India,"IND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","50.586","50.012","49.418","49.267","49.132","48.985","48.83","48.655","48.466","48.88","47.496"
Indonesia,"IDN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","62.845","63.465","64.404","63.863","63.927","63.573","63.462","64.171","64.684","65.789","64.533"
"Iran, Islamic Rep.","IRN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","36.51","35.543","36.641","36.79","36.522","37.258","37.718","38.824","38.977","39.299","37.352"
Iraq,"IRQ","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","37.865","37.762","37.723","38.087","38.384","38.364","38.481","36.436","35.693","34.81","33.952"
