Country Name,"Country Code","Series Name","Series Code","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Burundi,"BDI","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","71.481","70.942","70.398","69.848","69.291","68.73","67.43","66.102","64.749","63.372","61.972","60.552","59.114","57.661","58.168","58.696","58.877","58.731","58.407","58.083"
Cabo Verde,"CPV","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","37.909","37.139","36.4","35.697","35.032","34.406","33.817","33.264","32.739","32.612","32.521","32.411","32.287","32.155","32.016","31.871","31.725","28.153","25.877","23.256"
Cambodia,"KHM","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","75.608","76.043","76.503","76.051","75.611","75.191","74.781","70.702","74.842","78.225","78.368","73.72","68.51","69.678","69.641","69.724","69.049","68.791","68.587","68.49"
Cameroon,"CMR","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","66.253","65.977","65.729","65.533","65.405","65.296","65.18","61.159","56.974","52.676","50.678","48.666","46.644","44.62","42.345","40.159","38.027","35.886","33.712","31.294"
Canada,"CAN","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","63.237","65.264","66.479","66.07","65.705","67.221","67.626","67.943","66.362","65.896","65.629","65.476","65.512","65.808","65.613","65.195","65.106","64.519","66.1","61.931"
Cayman Islands,"CYM","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Central African Republic,"CAF","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","53.787","53.653","53.5","53.399","53.323","53.365","53.493","53.583","53.783","54.055","54.381","54.778","55.587","56.432","56.937","56.875","56.86","56.85","56.8","56.221"
Chad,"TCD","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","49.559","48.666","47.769","46.871","45.968","45.058","44.141","43.232","42.336","41.442","40.547","39.659","38.782","37.915","37.054","36.199","35.356","34.525","34.424","34.093"
Channel Islands,"CHI","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","48.849","48.002","47.52","47.797","47.344","47.257","46.947","46.981","46.223","44.505","45.12","46.404","44.087","46.274","46.729","45.888","46.027","46.124","45.781","45.346"
Chile,"CHL","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","27.299","26.447","27.539","28.685","29.394","29.026","29.807","31.825","31.825","30.549","32.266","31.539","31.069","31.172","30.202","29.804","30.68","30.886","29.619","22.329"
China,"CHN","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","64.601","63.551","62.489","61.426","60.361","59.304","58.256","57.201","56.131","55.057","53.966","53.101","52.242","51.41","50.615","49.842","49.082","48.361","47.732","44.47"
